CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
ANTHRO, 169B,1,"FERME, M C        ",0,5,3,4,1,2,0,0,0,0,0,0,0
ANTHRO, 172AC,1,"SCHWITTAY, A F    ",8,13,6,6,0,0,0,1,0,0,0,1,0
ANTHRO,179,1,"HANKS, W F        ",0,17,27,14,3,0,0,0,0,0,0,0,0
ANTHRO,189,1,"BRANDES, S H      ",2,22,18,8,9,5,1,2,0,0,0,0,5
ANTHRO,189,2,"HOLSTON, J        ",0,16,10,3,1,2,0,0,0,0,0,0,0
ANTHRO,C125A,1,"HABU, J           ",1,5,4,7,7,1,3,0,0,0,0,0,1
ANTHRO,C147B,1,"ALFONSO, D R      ",2,12,18,4,4,0,0,0,1,0,0,0,0
ARABIC, 001A,2,"SCHWARTZ, K L     ",1,3,6,4,0,0,1,0,0,0,0,0,0
ARABIC, 001A,3,"EL GENDY, K O     ",1,4,2,1,4,0,1,0,1,0,0,0,0
ARABIC, 001A,4,"ABUSAAD, R        ",1,3,4,2,1,0,0,0,0,0,0,0,0
ARABIC, 001A,5,"BAZIAN, H A       ",8,5,3,1,0,0,0,0,0,0,0,0,0
ARABIC, 001A,6,"EL-SHERIF, M      ",1,2,1,5,4,0,1,0,0,0,0,0,0
ARABIC, 001A,7,"NEALE, H          ",3,3,4,3,0,0,0,0,0,0,0,0,0
ARABIC, 020A,1,"BAZIAN, H A       ",4,6,3,0,0,0,0,0,0,0,0,0,0
ARABIC, 020A,3,"S'HIRI, S         ",2,9,2,3,1,0,0,0,0,0,0,0,0
ARABIC, 100A,1,"SIDDIQ, M         ",4,2,2,1,2,0,0,0,0,0,0,0,0
ARABIC, 105B,1,"LARKIN, M         ",1,4,3,1,2,0,0,0,0,0,0,0,0
ARABIC,107,1,"HAYES, J L        ",0,7,3,0,0,0,0,1,0,0,0,0,0
ARCH, 100A,1,"DAVIDS, R C       ",4,12,12,10,11,8,5,0,0,1,0,0,0
ARCH, 100B,1,"PLYMALE, K D      ",0,15,17,8,13,4,4,2,1,0,1,0,3
ARCH, 110AC,1,"CRANZ, G L        ",7,32,32,12,28,10,0,10,2,2,4,0,6
ARCH,120,1,"DAVIS, S          ",0,11,20,36,25,20,11,6,0,0,1,0,2
ARCH, 149A,1,"SALTER, C         ",1,6,5,4,3,1,0,1,2,0,0,0,0
ARCH,150,1,"MONK, D A         ",5,28,15,21,23,12,11,11,3,0,4,0,3
ARCH, 170A,1,"SHANKEN, A        ",0,23,26,39,64,27,13,14,5,0,1,1,10
ART,8,1,"MCNAMARA, J S     ",36,49,18,0,0,0,0,0,0,0,0,0,2
ART,12,2,"CARNWATH, S       ",2,7,8,1,4,0,0,0,0,0,0,0,0
ART,12,3,"RODRIGUEZ, L E    ",5,6,5,3,1,0,0,0,0,0,0,0,0
ART,13,1,"NAGASAWA, C K     ",0,11,0,0,0,0,0,1,0,0,0,0,0
ART,13,2,"MCNAMARA, J S     ",0,22,4,1,0,0,0,0,0,0,0,0,0
ART,14,1,"HUSSONG, R M      ",2,3,9,0,1,0,0,0,0,0,0,0,0
ART,14,3,"VAN DEN DOOL, M   ",0,2,1,8,0,3,0,0,0,0,0,0,0
ART,16,2,"HUSSONG, R M      ",1,8,6,1,0,0,0,0,0,0,0,0,0
ART, 023AC,1,"MCKAY, J D        ",12,13,7,5,4,2,2,1,1,2,1,0,1
ART,102,1,"NAGASAWA, C K     ",0,23,1,0,0,0,0,0,0,0,0,0,0
ART,102,2,"EBTEKAR, A M      ",3,14,2,0,1,0,0,0,0,0,0,0,0
ART,102,103,"SHERWOOD, K D     ",0,6,6,4,1,0,2,1,0,0,0,0,0
ART,117,1,"DEJESUS, V        ",7,10,3,0,0,0,0,0,0,0,0,0,0
ART,118,1,"SHAW, R B         ",0,14,0,13,1,1,1,1,0,0,0,0,0
