CourseID,CNUM,SECTION,INSTNAME,A +,A,A -,B +,B,B -,C +,C,C -,D +,D,D -,F
CELTIC,129,1,"KLAR, K A         ",2,13,5,3,0,1,0,0,0,0,0,0,0
CELTIC,R001A,1,"AGOZZINO, M T     ",0,5,1,3,7,0,0,0,0,0,0,0,0
CELTIC,R001B,1,"STARR-REID, K A   ",2,3,2,6,3,1,0,0,0,1,0,0,0
CHEM, 001A,1,"NITSCHE, H        ",4,29,20,27,62,25,53,76,2,0,6,0,1
CHEM, 001A,2,"NITSCHE, H        ",3,29,19,21,53,22,49,75,3,0,9,0,6
CHEM, 001B,1,"SAYKALLY, R J     ",4,33,6,7,35,6,2,17,3,0,5,0,1
CHEM, 003A,1,"FRECHET, J        ",24,35,50,34,30,36,29,30,41,0,39,0,30
CHEM, 003A,2,"FRECHET, J        ",28,61,70,52,44,55,37,44,52,0,43,0,35
CHEM, 003AL,1,"PEDERSEN, S F     ",0,140,212,24,4,6,0,2,1,0,0,0,3
CHEM, 003AL,2,"PEDERSEN, S F     ",0,206,245,17,8,5,1,2,0,0,0,0,4
CHEM, 003B,1,"PEDERSEN, S F     ",11,84,42,92,70,65,60,68,75,0,16,0,34
CHEM, 003BL,1,"PEDERSEN, S F     ",4,71,96,37,11,7,11,6,4,0,0,0,7
CHEM, 003BL,2,"PEDERSEN, S F     ",0,21,20,9,6,7,0,1,0,0,0,0,2
CHEM, 004B,1,"DOUSKEY, M        ",11,27,25,15,63,10,6,13,0,0,0,0,0
CHEM,100,1,"STACY, A M        ",0,15,11,0,0,0,0,0,0,0,0,0,0
CHEM, 104A,1,"ANDERSEN, R A     ",1,4,5,7,5,2,0,8,0,0,0,0,3
CHEM, 104B,1,"TILLEY, T D       ",1,4,13,6,2,8,4,9,5,0,1,0,3
CHEM,105,1,"MAJDA, M M        ",0,13,1,0,9,2,0,8,1,0,0,0,0
CHEM,108,1,"ANDERSEN, R A     ",0,5,5,4,1,0,0,2,0,0,0,0,0
CHEM, 112B,1,"SARPONG, R        ",11,18,22,11,29,12,3,9,5,0,6,0,9
CHEM,113,1,"TRAUNER, D        ",5,11,7,9,9,0,0,9,0,0,1,0,1
CHEM, 120A,1,"WHALEY, K B       ",4,4,10,35,28,19,4,6,1,0,3,0,6
CHEM, 120B,1,"CHANDLER, D       ",2,10,3,0,9,3,0,7,3,0,0,0,0
CHEM, 120B,2,"GROVES, J         ",2,15,2,0,12,4,0,8,4,0,0,0,0
CHEM,125,1,"SHANK, C V        ",2,21,12,1,7,5,4,1,1,0,1,0,1
CHEM, 130B,1,"MATHIES, R A      ",1,3,2,2,4,0,0,5,0,0,0,0,0
CHEM,135,1,"FRANCIS, M B      ",4,16,4,4,9,2,7,7,5,0,3,0,1
CHEM,C150,1,"LONG, J R         ",0,6,1,1,1,2,0,0,0,0,0,0,0
CHICANO,20,1,"DAVILA-SANCHEZ, A ",0,5,2,17,5,0,0,0,0,0,0,0,0
CHICANO,40,1,"PEREZ, L E        ",1,5,10,7,5,1,2,0,0,0,0,0,0
CHICANO,133,1,"ARTEAGA, A        ",0,26,7,6,1,0,0,0,0,0,0,0,0
CHICANO,135,1,"TELLES, R         ",2,3,15,3,1,0,0,1,0,0,0,0,0
CHICANO,145,1,"PESQUERA, B M     ",0,8,2,3,2,0,0,0,0,0,0,0,0
CHICANO,159,1,"MUNOZ, C J        ",4,39,7,8,7,0,0,0,0,0,0,0,0
CHICANO,165,1,"SARAGOZA, A M     ",0,5,5,5,5,2,5,0,1,0,1,0,0
CHICANO,172,1,"CHAVEZ, L F       ",3,11,4,10,4,0,0,0,0,0,0,0,0
CHICANO,180,2,"RODRIGUEZ, C H    ",3,3,2,4,2,0,2,0,0,0,0,0,0
CHICANO,180,6,"TELLES, R         ",0,5,10,1,2,0,0,0,0,0,0,0,0
CHINESE, 001B,3,"YANG, Y           ",0,10,1,4,3,1,0,0,0,0,0,0,0
CHINESE, 001B,4,"YANG, Y           ",0,8,7,2,2,1,0,0,0,0,0,0,0
CHINESE, 001B,5,"YANG, Y           ",0,6,2,3,2,2,1,0,0,0,0,0,0
CHINESE, 001BX,1,"LIU, L            ",0,4,8,0,1,0,0,0,0,0,0,0,0
